suburb,address,sale_price,property_type,bedrooms,bathrooms,parking,land_size,sale_date,days_on_market,sale_method
Blacktown,"25/8-10 Fourth Avenue, Blacktown",415000,Apartment,2,1,1,NA,16-Sep-26,28,private treaty
Blacktown,"17 St Pauls Way, Blacktown",828000,Townhouse,3,2,1,103,15-Sep-26,103,private treaty
Blacktown,"3/130 Newton Road, Blacktown",700000,Townhouse,2,1,1,156,14-Sep-26,61,private treaty
Blacktown,"4 & 4A Joseph Street, Blacktown",1340000,House,5,2,5,713,14-Sep-26,48,private treaty
Blacktown,"3/28 Frederick Street, Blacktown",732500,Townhouse,2,1,1,85,14-Sep-26,42,private treaty
Blacktown,"42 Burke Street, Blacktown",1260000,House,5,3,6,626,11-Sep-26,57,private treaty
Blacktown,"20/5-9 Fourth Avenue, Blacktown",441000,Apartment,2,1,1,NA,10-Sep-26,52,private treaty
Blacktown,"36/2-4 Fourth Avenue, Blacktown",415000,Apartment,2,1,1,NA,10-Sep-26,48,private treaty
Blacktown,"13/8-18 Wallace Street, Blacktown",463000,Apartment,2,2,1,NA,9-Sep-26,78,private treaty
Blacktown,"9 Cardiff Street, Blacktown",1089000,House,5,2,2,556,8-Sep-26,43,private treaty
Blacktown,"52 Balmoral Street, Blacktown",1300000,House,4,1,1,696,8-Sep-26,239,private treaty
Blacktown,"9 Kirkman Road, Blacktown",1070000,House,4,1,2,638,3-Sep-26,22,prior to auction
Blacktown,"11/130 Main Street, Blacktown",375000,Apartment,1,1,1,NA,2-Sep-26,97,private treaty
Blacktown,"17 Carinya Street, Blacktown",1600000,House,3,1,1,1182,2-Sep-26,237,private treaty
Blacktown,"1103/5 Second Avenue, Blacktown",420000,Apartment,2,2,1,NA,1-Sep-26,102,private treaty
Blacktown,"38-38A Burrell Parade, Blacktown",1480000,House,5,3,4,563,28-Aug-26,107,private treaty
Blacktown,"73/31 Third Avenue, Blacktown",452000,Apartment,2,2,1,NA,26-Aug-26,87,private treaty
Blacktown,"39 Burke Street, Blacktown",1500000,House,5,3,2,601,26-Aug-26,98,private treaty
Blacktown,"19 Stephen Street, Blacktown",1062500,House,3,1,1,575,26-Aug-26,65,private treaty
Blacktown,"7/45 Lyton Street, Blacktown",805000,Townhouse,2,2,1,229,25-Aug-26,32,private treaty
Blacktown,"6 Fringe Glade, Blacktown",790000,Townhouse,2,2,1,126,24-Aug-26,32,private treaty
Blacktown,"903/5 Second Avenue, Blacktown",600000,Apartment,3,2,2,NA,23-Aug-26,289,private treaty
Blacktown,"63/130 Main Street, Blacktown",443000,Apartment,2,2,2,NA,22-Aug-26,137,private treaty
